createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.txCount,token00_creator_address,txCount,Liq_Eth,Liq_Tok
2020-05-27,0x9ec908ba489cb359213c7fb73bfdec2a8963c616,Bitcoin Wheelchair,BTCWH,Wrapped Ether,WETH,0x4588c3c165a5c66c020997d89c2162814aec9cd6,Bitcoin Wheelchair,BTCWH,9,0x777db4db6d0cd18b1a7c83487b24276469ea6203,7,1e-08,0.00153844
2020-05-27,0xabbc922ce3afa60c75a2b56ec798da7ecea68b27,Bread Token,BRD,Wrapped Ether,WETH,0x558ec3152e2eb2174905cd19aea4e34a23de9ad6,Bread Token,BRD,845,0xa768cc13d1ab64283882ffa74255bb0564a7592b,845,78.94526169,0.00459174
2020-05-27,0xabb473322f3486a6f6dfe20b47c009ee72650fcd,ThornCoin,THRN,Wrapped Ether,WETH,0x35a735b7d1d811887966656855f870c05fd0a86d,ThornCoin,THRN,45,0xeccb90ab4a78ed26587f1e7bd72081b56b56ea37,45,245.0468796,0.002953784
2020-05-27,0x623a46f177ea94407c7db1c0ea1a77619f10001e,Wrapped Ether,WETH,KWDCOIN,KWC,0xdbb3dc75cb0bcf81850b4e30b34a21dfae305f39,KWDCOIN,KWC,8,0xd61c32822ec0c3dd2a0e9efca354089d12c46dfa,2,1.0,2.24e-12
2020-05-27,0xfcc946ce097adb5ba88875a5b28803865f44109c,HuntToken,HUNT,Wrapped Ether,WETH,0x9aab071b4129b083b01cb5a0cb513ce7eca26fa5,HuntToken,HUNT,2383,0x44c792e1d3c7a0bc78a362cb65462b13142b9e30,2333,4573.403869,0.733912797
2020-05-26,0x25e0e258a1633aa2b81859dc94d4bc4a98c70738,0xUniverse Energy,0XE,Wrapped Ether,WETH,0x865a0a385b805cc4146c0f4061586a3da25e5c1f,0xUniverse Energy,0XE,173,0x9e2655bda4940dfb9e446110f7180f7da1e58822,173,6.86e-05,1.601468941
2020-05-26,0x795ac412bfc02cd5815727f419050d0e9b331e61,GoldenRatio,GRT,Wrapped Ether,WETH,0xb83cd8d39462b761bb0092437d38b37812dd80a2,GoldenRatio,GRT,843,0x78baec91a53e9f1676e254d51beee8e9346ca509,595,34.48014206,0.051181705
2020-05-26,0x992faee3017c7e3fa0390debfa59337bd378d445,Cherry,CHERRY,Wrapped Ether,WETH,0x0eed7d6564fae0c22a7dc9ebb3db4a4c4a1473ee,Cherry,CHERRY,96,0x2ca4fba78f6187ae1e2566ba35530e9a009b1eae,54,1257.202403,0.139763953
2020-05-26,0x816fd2c7f531d1d1294cce29a1be28ee6911f3d3,Wrapped Ether,WETH,Zum Token,ZUM,0xe0b9bcd54bf8a730ea5d3f1ffce0885e911a502c,Zum Token,ZUM,1861,0x19abb86479e7807ac9f29ebfcf8810ad486ee14c,1776,530914127.8,2.044523269
2020-05-26,0x429a0bd2405e5d72532f533b3f69142dd36b3ffb,RanjeshCoin,SIR,Wrapped Ether,WETH,0x46ce61d5d93007d30f44a18e93e4400cf73a83f8,RanjeshCoin,SIR,17,0xe5a9765732e89b151867fb62c858fb42f36e8b97,17,7.02e-12,1e-18
2020-05-26,0xf6a30b6bdaf73c73d38bfb1b5582321d7de4abfc,Relex,RLX,Wrapped Ether,WETH,0x4a42d2c580f83dce404acad18dab26db11a1750e,Relex,RLX,225,0x92c5d6898abbd58e388aa94c816d4d17387a8859,213,1e-18,0.004
2020-05-26,0xf1392b7ae57f2a1d40b0c3e5866366d9db4814df,Wrapped Ether,WETH,NOIA Token,NOIA,0xfc858154c0b2c4a3323046fb505811f110ebda57,NOIA Token,NOIA,5050,0x57177174c1c57786e3d20d63fe8987dcc4911de8,5050,1968939.159,0.022380856
